EMPLOYEE_CODE,FIRST_NAME,FIRST_NAME_MB,LAST_NAME,LAST_NAME_MB,DATE_HIRED,TERMINATION_DATE,TERMINATION_CODE,BIRTH_DATE,GENDER_CODE,WORK_PHONE,EXTENSION,FAX,EMAIL,SSN,COMMUTE_TIME
10017,Fritz,Fritz,Hirsch,Hirsch,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(49) 89 882 3456,3982,'+(49) 89 882 3455,FHirsch@grtd123.com,247-40-6507,34
10018,Jörg,Jörg,Kunze,Kunze,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(49) 89 882 3456,3981,'+(49) 89 882 3455,JKunze@grtd123.com,456-44-1253,14
10019,Silvano,Silvano,Allessori,Allessori,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+(39) 02 79 53 780,7980,'+(39) 02 79 53 477,SAllessori@grtd123.com,787-66-2430,26
10020,Maria,Maria,Iacobucci,Iacobucci,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(39) 02 79 53 780,7979,'+(39) 02 79 53 477,MIacobucci@grtd123.com,440-40-8897,34
10021,Alessandra,Alessandra,Torta,Torta,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(39) 02 79 53 780,7978,'+(39) 02 79 53 477,ATorta@grtd123.com,754-40-5727,32
10022,Belinda,Belinda,Jansen-Velasquez,Jansen-Velasquez,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+31 (0)20 692 93 94,6977,'+31 (0)20 692 93 06,BJansen-Velasquez@grtd123.com,196-82-0685,7
10023,Ellen,Ellen,Shapiro,Shapiro,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+31 (0)20 692 93 94,6976,'+31 (0)20 692 93 06,EShapiro@grtd123.com,886-33-8871,23
10024,Jan,Jan,Haverkamp,Haverkamp,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+31 (0)20 692 93 94,6975,'+31 (0)20 692 93 06,JHaverkamp@grtd123.com,826-89-1118,24
10025,Kick,Kick,Kalkman,Kalkman,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,'+31 (0)20 692 93 94,6974,'+31 (0)20 692 93 06,KKalkman@grtd123.com,625-60-4005,28
10085,Akemi,明美,Yamada,山田,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,81-3-6259-6601,8914,81-3-6208-4445,AYamada@grtd123.com,387-34-8120,24
10087,Kazumi,和美,Uragome,裏込,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,81-6-616-5656,8912,81-6-616-5657,KUragome@grtd123.com,539-92-0259,28
10088,Masuzo,益三,Kakui,角井,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,0,81-6-616-5656,8911,81-6-616-5657,MKakui@grtd123.com,231-02-8834,21
10089,Alice,Alice,Walter,Walter,00:00.0,0001-01-01 00:00:00.0,150,00:00.0,1,'+(61) 03 2982  4242,8910,'+(61) 03 2982  4243,AWalter@grtd123.com,432-14-5076,23
